City	Division	Lat	Lon
Raseborg Municipality, Uusimaa, Finland	Europe	59.9744373	23.435507
Asheville, North Carolina, United States	North America	35.5950581	-82.5514869
Neosho, Missouri, United States	North America	36.8689554	-94.367996
Schuyler, Nebraska, United States	North America	41.4483432	-97.0597019
Kirklareli Province, Turkey, Turkey	Europe	41.7259795	27.483839
Salem, Virginia, United States	North America	37.2934681	-80.0547626
Old Bethpage, New York, United States	North America	40.7625993	-73.4531786
Highland Heights, Ohio, United States	North America	41.5519954	-81.4784522
Westby, Wisconsin, United States	North America	43.6569157	-90.8542977
Washington, North Carolina, United States	North America	35.5465517	-77.0521742
Marlboro, New York, United States	North America	41.6056492	-73.9715276
Cuba, Missouri, United States	North America	38.0628225	-91.4034833
Fredericksburg, Pennsylvania, United States	North America	40.4437018	-76.4282933
South Salem, New York, United States	North America	41.2728649	-73.5523849
Alexander City, Alabama, United States	North America	32.944012	-85.9538532
Lititz, Pennsylvania, United States	North America	40.1573169	-76.3069014
Clawson, Michigan, United States	North America	42.5333682	-83.1463166
Opelika, Alabama, United States	North America	32.6454116	-85.3782795
Lexington, Massachusetts, United States	North America	42.4430372	-71.2289641
Canutillo, Texas, United States	North America	31.9114925	-106.6002687
Samos Town, Samos, Greece	Europe	37.7559533	26.9761997
Trois Rives, Quebec, Canada	North America	46.9699915	-72.7735229
Summerstown, Ontario, Canada	North America	45.059039	-74.558464
Tillsonburg, Ontario, Canada	North America	42.8658879	-80.7333175
Melfort, Saskatchewan, Canada	North America	52.8608387	-104.6142973
Commanda, Ontario, Canada	North America	45.951775	-79.606297
Ormsby, Ontario, Canada	North America	44.880999	-77.751428
Charlo, New Brunswick, Canada	North America	47.9903754	-66.316485
Restoule, Ontario, Canada	North America	46.02686	-79.719627
Wardner, British Columbia, Canada	North America	49.417837	-115.421878
Caraquet, New Brunswick, Canada	North America	47.7897303	-64.9628271
Grande Cache, Alberta, Canada	North America	53.888685	-119.114022
Creemore, Ontario, Canada	North America	44.3272376	-80.1061859
Georgetown, Ontario, Canada	North America	43.6502046	-79.9036236
Listowel, Ontario, Canada	North America	43.7334165	-80.9514698
